time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
177.5,119.16186148692475,26.067411756537627,1.1578675617624015,-35.68556665403474,0.8147894880204374,-0.15921676527308268,325.66783809790894,70.0,32.338161342003616,-0.5644073894591111,-0.6228306335528024,0.0,-32.338161342003616,87.67387209739536,-12.485084234911483
178.0,119.16185674342526,26.06741425657478,1.1827652566276936,-32.83378652325475,0.8397092292161255,-0.023761353290561095,328.8707166108632,70.0,31.762413543913986,-0.5543586947213397,-0.5730576807277371,0.0,-31.762413543913986,87.9651316376403,-12.952018449956086
178.5,119.16185519999999,26.06741512180007,1.1965412535683968,-30.100618275781915,0.8182624935481219,-0.5134595052785426,331.9772867307221,70.0,31.243128299427934,-0.5452954574480342,-0.525354895798373,0.0,-31.243128299427934,88.06564211891964,-13.103778792661615
179.0,119.16185079531792,26.06741760234105,1.2288715937965156,-25.83309640722472,0.784266096761898,-0.4033456990367993,335.33779702121905,70.0,30.740817682200497,-0.5365284833096905,-0.4508725882911892,0.0,-30.740817682200497,88.35373903578147,-13.53684080648236
179.5,119.1618485035312,26.067419496468812,1.2551375488014613,-23.090473842282773,0.7665211724093501,-0.19536773999259377,339.0546270186398,70.0,30.399999999999977,-0.5305800926062758,-0.4030047943934602,0.0,-30.399999999999977,88.57056381320581,-13.760192784364335
180.0,119.16184820727874,26.067419646289125,1.271518383837855,-19.565576071522724,0.809509246696076,-0.5809977584013986,342.57423279026835,70.0,30.42928643446683,-0.5310912373138919,-0.3414837224974891,0.0,-30.42928643446683,88.58805359527469,-13.789375542255584
180.5,119.16184329652103,26.0674233517395,1.2776667519745057,-15.935540304853863,0.7517680233467015,-0.5165791150446294,346.08873134404814,70.0,30.631716913934774,-0.5346243156869983,-0.27812764640396076,0.0,-30.631716913934774,89.01348634064198,-14.269120960554574
181.0,119.16184095806213,26.067425041937877,1.2672561896711085,-12.363827436382016,0.7664991710361128,-0.3680511734122158,350.01815977448297,70.0,30.539778554351177,-0.533019688603382,-0.21578949691327592,0.0,-30.539778554351177,89.2078333767131,-14.497814378060866
181.5,119.16184071192212,26.067425284279533,1.2560113950950673,-10.410806322166179,0.7525124667071876,-0.6446782342982951,353.52416129611146,70.0,31.52029496056855,-0.5501329282616975,-0.18170284810924137,0.0,-31.52029496056855,89.2354357088916,-14.521675359050278
182.0,119.161836536493,26.067428647679105,1.2598583521304687,-10.810528033731012,0.7396996402042275,-0.6674966100442293,356.9176277768839,70.0,32.07217109345046,-0.5597649838436605,-0.18867930806775476,0.0,-32.07217109345046,89.62076390255243,-14.928888692811597
